Size, Seq, Par, Libc
128, 0.000022, 0.016921, 0.000044
128, 0.000020, 0.014533, 0.000054
128, 0.000029, 0.008990, 0.000046
128, 0.000020, 0.015816, 0.000050
128, 0.000026, 0.012687, 0.000043
256, 0.000041, 0.019691, 0.000084
256, 0.000059, 0.026628, 0.000075
256, 0.000058, 0.018632, 0.000071
256, 0.000041, 0.017808, 0.000065
256, 0.000054, 0.016365, 0.000071
512, 0.000139, 0.021647, 0.000114
512, 0.000106, 0.033561, 0.000145
512, 0.000174, 0.030507, 0.000130
512, 0.000107, 0.023193, 0.000107
512, 0.000136, 0.033306, 0.000138
1024, 0.000246, 0.054980, 0.000228
1024, 0.000283, 0.064871, 0.000252
1024, 0.000287, 0.062032, 0.000312
1024, 0.000230, 0.061382, 0.000225
1024, 0.000278, 0.051305, 0.000309
2048, 0.000578, 0.072223, 0.000595
2048, 0.000438, 0.050434, 0.000484
2048, 0.000533, 0.048676, 0.000701
2048, 0.000464, 0.051067, 0.000469
2048, 0.000554, 0.168085, 0.000737
4096, 0.001249, 0.070665, 0.001061
4096, 0.001100, 0.078184, 0.001021
4096, 0.001325, 0.049322, 0.000896
4096, 0.000877, 0.095350, 0.001522
4096, 0.001396, 0.108750, 0.000883
8192, 0.001785, 0.037770, 0.001782
8192, 0.001682, 0.064785, 0.002665
8192, 0.002266, 0.111281, 0.005511
8192, 0.005828, 0.149555, 0.004805
8192, 0.005274, 0.164394, 0.004938
