Size, Type, Time
100, "Sequential", 0.000019
100, "Parallel", 0.006264
100, "Built-in", 0.000016
100, "Sequential", 0.000012
100, "Parallel", 0.003980
100, "Built-in", 0.000014
100, "Sequential", 0.000012
100, "Parallel", 0.006036
100, "Built-in", 0.000016
100, "Sequential", 0.000013
100, "Parallel", 0.005353
100, "Built-in", 0.000013
100, "Sequential", 0.000013
100, "Parallel", 0.007999
100, "Built-in", 0.000017
1000, "Sequential", 0.000161
1000, "Parallel", 0.032163
1000, "Built-in", 0.000249
1000, "Sequential", 0.000154
1000, "Parallel", 0.036185
1000, "Built-in", 0.000169
1000, "Sequential", 0.000160
1000, "Parallel", 0.025408
1000, "Built-in", 0.000168
1000, "Sequential", 0.000184
1000, "Parallel", 0.026898
1000, "Built-in", 0.000171
1000, "Sequential", 0.000161
1000, "Parallel", 0.027325
1000, "Built-in", 0.000174
10000, "Sequential", 0.002203
10000, "Parallel", 0.043149
10000, "Built-in", 0.001957
10000, "Sequential", 0.002178
10000, "Parallel", 0.038277
10000, "Built-in", 0.001986
10000, "Sequential", 0.002178
10000, "Parallel", 0.039352
10000, "Built-in", 0.001999
10000, "Sequential", 0.002256
10000, "Parallel", 0.043866
10000, "Built-in", 0.002004
10000, "Sequential", 0.002171
10000, "Parallel", 0.035219
10000, "Built-in", 0.002013
100000, "Sequential", 0.027295
100000, "Parallel", 0.060010
100000, "Built-in", 0.024156
100000, "Sequential", 0.021721
100000, "Parallel", 0.049086
100000, "Built-in", 0.021149
100000, "Sequential", 0.021664
100000, "Parallel", 0.053312
100000, "Built-in", 0.021985
100000, "Sequential", 0.021039
100000, "Parallel", 0.053066
100000, "Built-in", 0.020152
100000, "Sequential", 0.020766
100000, "Parallel", 0.043770
100000, "Built-in", 0.019165
1000000, "Sequential", 0.219805
1000000, "Parallel", 0.191398
1000000, "Built-in", 0.244150
1000000, "Sequential", 0.216176
1000000, "Parallel", 0.198717
1000000, "Built-in", 0.215203
1000000, "Sequential", 0.216410
1000000, "Parallel", 0.263581
1000000, "Built-in", 0.317709
1000000, "Sequential", 0.312561
1000000, "Parallel", 0.205354
1000000, "Built-in", 0.197351
1000000, "Sequential", 0.201809
1000000, "Parallel", 0.206272
1000000, "Built-in", 0.200649
