Size, Seq, Par, Libc
, 0.000001, 0.000976, 0.000003
, 0.000001, 0.001702, 0.000006
, 0.000001, 0.001277, 0.000003
, 0.000000, 0.000981, 0.000003
, 0.000000, 0.000908, 0.000003
, 0.000001, 0.001966, 0.000004
, 0.000001, 0.001938, 0.000005
, 0.000000, 0.001676, 0.000004
, 0.000001, 0.002354, 0.000004
, 0.000001, 0.003004, 0.000007
, 0.000002, 0.001753, 0.000004
, 0.000001, 0.001505, 0.000003
, 0.000001, 0.001272, 0.000003
, 0.000001, 0.002571, 0.000003
, 0.000001, 0.003709, 0.000008
, 0.000001, 0.001555, 0.000003
, 0.000002, 0.001372, 0.000005
, 0.000001, 0.003945, 0.000005
, 0.000002, 0.002059, 0.000023
, 0.000001, 0.001962, 0.000003
, 0.000002, 0.006723, 0.000006
, 0.000002, 0.002001, 0.000006
, 0.000001, 0.001773, 0.000004
, 0.000001, 0.006051, 0.000008
, 0.000001, 0.006851, 0.000005
, 0.000002, 0.003547, 0.000007
, 0.000001, 0.001195, 0.000007
, 0.000001, 0.005913, 0.000011
, 0.000001, 0.005079, 0.000006
, 0.000002, 0.002142, 0.000017
, 0.000001, 0.004994, 0.000011
, 0.000001, 0.001308, 0.000004
, 0.000001, 0.002579, 0.000005
, 0.000002, 0.001270, 0.000007
, 0.000003, 0.001857, 0.000012
, 0.000002, 0.001527, 0.000007
, 0.000002, 0.003527, 0.000005
, 0.000002, 0.001647, 0.000004
, 0.000002, 0.002831, 0.000007
, 0.000003, 0.001369, 0.000006
, 0.000003, 0.001476, 0.000005
, 0.000002, 0.001538, 0.000004
, 0.000003, 0.001495, 0.000005
, 0.000003, 0.001737, 0.000007
, 0.000003, 0.001576, 0.000005
, 0.000002, 0.005166, 0.000006
, 0.000002, 0.001852, 0.000009
, 0.000003, 0.001935, 0.000005
, 0.000002, 0.002717, 0.000007
, 0.000003, 0.002505, 0.000007
, 0.000003, 0.001763, 0.000006
, 0.000002, 0.003285, 0.000007
, 0.000002, 0.001713, 0.000005
, 0.000002, 0.002007, 0.000004
, 0.000002, 0.002245, 0.000006
, 0.000003, 0.002148, 0.000008
, 0.000003, 0.001577, 0.000005
, 0.000003, 0.001691, 0.000005
, 0.000003, 0.006546, 0.000010
, 0.000003, 0.002134, 0.000004
, 0.000002, 0.002324, 0.000008
, 0.000002, 0.001968, 0.000006
, 0.000003, 0.003139, 0.000007
, 0.000003, 0.002134, 0.000005
, 0.000002, 0.001673, 0.000004
, 0.000002, 0.001892, 0.000008
, 0.000002, 0.001897, 0.000007
, 0.000002, 0.001640, 0.000004
, 0.000002, 0.001502, 0.000005
, 0.000002, 0.001569, 0.000005
, 0.000003, 0.001927, 0.000008
, 0.000003, 0.001647, 0.000006
, 0.000002, 0.001876, 0.000004
, 0.000003, 0.001787, 0.000005
, 0.000003, 0.001499, 0.000005
